Site,Time ,Method,Treatment,Replicate,Area,Species,Trophic group,attack_number,attack_hour,attack_total_time,inspecting_number,inspecting_hour,inspecting_total_time,total_video_min
Blue lagoon,2,Dome,Fish,3,Lizard Island,Chrysiptera rollandi,Planktivore,0,0,0,1,0.890339813,0.07,67.39
Blue lagoon,2,Dome,Fish,3,Lizard Island,Chrysiptera rollandi,Planktivore,0,0,0,1,0.890339813,0.07,67.39
Blue lagoon,2,Dome,Fish,3,Lizard Island,Platax orbicularis,Piscivore,0,0,0,1,0.890339813,0.08,67.39
Blue lagoon,1,Dome,No_fish,1,Lizard Island,Platax orbicularis,Piscivore,0,0,0,0,0,0,
Blue lagoon,1,Dome,No_fish,2,Lizard Island,Platax orbicularis,Piscivore,0,0,0,0,0,0,
Blue lagoon,1,Dome,No_fish,3,Lizard Island,Platax orbicularis,Piscivore,0,0,0,0,0,0,
Blue lagoon,2,Dome,No_fish,1,Lizard Island,Platax orbicularis,Piscivore,0,0,0,0,0,0,
Blue lagoon,2,Dome,No_fish,2,Lizard Island,Platax orbicularis,Piscivore,0,0,0,0,0,0,
Blue lagoon,2,Dome,No_fish,3,Lizard Island,Platax orbicularis,Piscivore,0,0,0,0,0,0,
Malabar 1 ,1,Dome,Fish,1,Sydney,Platax orbicularis,Piscivore,0,0,0,0,0,0,81.15
Malabar 1 ,1,Dome,Fish,2,Sydney,Platax orbicularis,Piscivore,0,0,0,0,0,0,71.21
Malabar 1 ,1,Dome,Fish,3,Sydney,Nelusetta ayraud,Omnivore,0,0,0,1,0.960153625,0.25,62.49
Malabar 1 ,2,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,0,0,0,1,0.550964187,0.11,108.9
Malabar 1 ,2,Dome,Fish,2,Sydney,Nelusetta ayraud,Omnivore,0,0,0,0,0,0,96.26
Malabar 1 ,2,Dome,Fish,3,Sydney,Nelusetta ayraud,Omnivore,0,0,0,1,0.633847454,0.05,94.66
Malabar 1 ,2,Dome,Fish,3,Sydney,Nelusetta ayraud,Omnivore,0,0,0,1,0.633847454,0.1,94.66
Malabar 1 ,2,Dome,Fish,3,Sydney,Nelusetta ayraud,Omnivore,0,0,0,1,0.633847454,0.03,94.66
Malabar 1 ,2,Dome,Fish,3,Sydney,Nelusetta ayraud,Omnivore,1,0.633847454,0.1,0,0,0,94.66
Malabar 1 ,1,Dome,No_fish,1,Sydney,Nelusetta ayraud,Omnivore,0,0,0,0,0,0,
